Gipps following-car model simulation 
Simulation Time : [Acceleration, Speed, Location, Headway]
Simulation Time: 0.000000 
V0: [0.000000,0.000000,-509.645400,0.000000] 
V1: [0.000000,0.000000,-509.645400,6.606800] 
V2: [0.000000,0.000000,-509.645400,6.059000] 
V3: [0.000000,0.000000,-509.645400,7.209800] 
V4: [0.000000,0.000000,-509.645400,6.329000] 
V5: [0.000000,0.000000,-509.645400,6.587700] 
V6: [0.000000,0.000000,-509.645400,6.832100] 
V7: [0.000000,0.000000,-509.645400,6.555800] 
V8: [0.000000,0.000000,-509.645400,6.049200] 
V9: [0.000000,0.000000,-509.645400,6.725100] 
Simulation Time: 0.670000 
V0: [0.860900,0.574000,-509.645400,0.000000] 
V1: [0.052600,0.035100,-509.645400,7.243000] 
V2: [0.890600,0.593700,-509.645400,6.052100] 
V3: [0.573900,0.382600,-509.645400,7.589900] 
V4: [1.938000,1.292000,-509.645400,6.314100] 
V5: [0.457400,0.304900,-509.645400,7.849800] 
V6: [0.887400,0.591600,-509.645400,6.959200] 
V7: [0.278200,0.185500,-509.645400,6.981200] 
V8: [0.770500,0.513700,-509.645400,6.081300] 
V9: [0.813700,0.542500,-509.645400,6.967300] 
Simulation Time: 1.330000 
V0: [1.193500,1.369600,-509.645400,0.000000] 
V1: [0.754100,0.537800,-509.645400,8.298500] 
V2: [0.503000,0.929100,-509.645400,6.129200] 
V3: [0.723300,0.864800,-509.645400,7.707800] 
V4: [2.260900,2.799300,-509.645400,5.719200] 
V5: [0.544400,0.667800,-509.645400,9.391700] 
V6: [0.417900,0.870200,-509.645400,7.056700] 
V7: [0.358400,0.424400,-509.645400,7.397300] 
V8: [0.362800,0.755600,-509.645400,6.084100] 
V9: [0.834700,1.099000,-509.645400,6.918300] 
Simulation Time: 2.000000 
V0: [1.500100,2.369700,-509.645400,0.000000] 
V1: [1.018100,1.216500,-509.645400,9.684700] 
V2: [-0.385200,0.672300,-509.645400,6.686800] 
V3: [0.865400,1.441700,-509.645400,7.433700] 
V4: [0.000000,2.799300,-509.645400,4.723500] 
V5: [0.628200,1.086600,-509.645400,10.673100] 
V6: [0.176500,0.987900,-509.645400,7.319100] 
V7: [0.643600,0.853500,-509.645400,7.769200] 
V8: [-0.025000,0.738900,-509.645400,6.285700] 
V9: [-0.395900,0.835000,-509.645400,6.560000] 
Simulation Time: 2.670000 
V0: [1.760500,3.543400,-509.645400,0.000000] 
V1: [1.261700,2.057600,-509.645400,11.391500] 
V2: [0.209000,0.811600,-509.645400,7.890900] 
V3: [-0.407800,1.169800,-509.645400,7.402600] 
V4: [0.000000,2.799300,-509.645400,3.765000] 
V5: [0.707900,1.558600,-509.645400,11.657500] 
V6: [0.626600,1.405600,-509.645400,7.734200] 
V7: [0.588300,1.245700,-509.645400,8.176800] 
V8: [-0.928300,0.120100,-509.645400,6.991900] 
V9: [-0.632500,0.413300,-509.645400,6.391800] 
Simulation Time: 3.330000 
V0: [1.961500,4.851000,-509.645400,0.000000] 
V1: [1.471100,3.038400,-509.645400,13.392700] 
V2: [1.342800,1.706800,-509.645400,9.440800] 
V3: [0.575000,1.553200,-509.645400,8.001000] 
V4: [0.000000,2.799300,-509.645400,3.160500] 
V5: [0.782500,2.080300,-509.645400,12.310700] 
V6: [0.765900,1.916200,-509.645400,8.202900] 
V7: [0.729400,1.732000,-509.645400,8.651000] 
V8: [0.755500,0.623700,-509.645400,8.082800] 
V9: [0.048600,0.445800,-509.645400,6.743800] 
Simulation Time: 4.000000 
V0: [2.096400,6.248600,-509.645400,0.000000] 
V1: [1.637400,4.130000,-509.645400,15.650000] 
V2: [1.656900,2.811400,-509.645400,11.078200] 
